ASV_ID,kingdom,phylum,class,order,family,genus,species,domain,species_raw,best_id,species_lab,occ_query_name,occ_n_records,occ_n_gbif,occ_n_obis,occ_min_distance_km,occ_nearest_lat,occ_nearest_lon,occ_in_study_area,occ_in_buffer,occ_assessment,occ_congeners_in_region,assigned_pct_identity,validation_flag,best_congener,best_congener_pct_identity,n_congeners_in_db,congeners_in_db,n_congeners_missing,congeners_missing,final_decision,decision_confidence,decision_reason,cleaned_species
ASV11,Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis gunnellus,Eukaryota,Pholis gunnellus,Pholis gunnellus,Pholis gunnellus 1,Pholis gunnellus,102,83,19,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Pholis crassispina,98.8,9.0,Pholis clemensi; Pholis crassispina; Pholis fangi; Pholis fasciata; Pholis gunnellus; Pholis laeta; Pholis nebulosa; Pholis ornata; Pholis picta,6.0,Centronotus islandicus; Gunnellus crassispina; Gunnellus ruberrimus; Gunnellus vulgaris; Pholis nea; Pholis schultzi,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Pholis gunnellus
ASV12,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,Eukaryota,Gasterosteus aculeatus,Gasterosteus aculeatus,Gasterosteus aculeatus 1,Gasterosteus aculeatus,1341,1335,6,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Gasterosteus gymnurus,100.0,4.0,Gasterosteus aculeatus; Gasterosteus gymnurus; Gasterosteus nipponicus; Gasterosteus wheatlandi,21.0,Gasterosteus acanthias; Gasterosteus apeltes; Gasterosteus atherinus; Gasterosteus biaculeatus; Gasterosteus carolinensis; Gasterosteus columbarius; Gasterosteus crenobiontus; Gasterosteus glaber; Gasterosteus glaucus; Gasterosteus islandicus,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Gasterosteus aculeatus
ASV13,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Eukaryota,Clupea harengus,Clupea harengus,Clupea harengus 2,Clupea harengus,3402,88,3314,0,,,True,True,CONFIRMED,,98.8,UNCERTAIN,Clupea pallasii,98.3,2.0,Clupea harengus; Clupea pallasii,59.0,Clupea anomalura; Clupea arcuata; Clupea arezedi; Clupea beurardi; Clupea brevis; Clupea chinensis; Clupea chrysotaenia; Clupea curta; Clupea dentex; Clupea elongata,DROP_TO_GENUS,LOW,Geographic CONFIRMED but missing congeners in DB - cannot validate,Clupea sp. cf. harengus
ASV14,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius merluccius,Eukaryota,Merluccius merluccius,Merluccius merluccius,Merluccius merluccius 1,Merluccius merluccius,416,57,359,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Merluccius senegalensis,98.8,12.0,Merluccius albidus; Merluccius angustimanus; Merluccius australis; Merluccius bilinearis; Merluccius capensis; Merluccius gayi; Merluccius hubbsi; Merluccius merluccius; Merluccius paradoxus; Merluccius polli,26.0,Gobius macroactus; Merluccius abreviatus; Merluccius argentatus; Merluccius athanasiui; Merluccius attenuatus; Merluccius balticus; Merluccius emarginatus; Merluccius fimbriatus; Merluccius guttatus; Merluccius hernandezi,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Merluccius merluccius
ASV15,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Eukaryota,Homo sapiens,Homo sapiens,Homo sapiens 1,Homo sapiens,3,3,0,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Homo heidelbergensis,97.1,2.0,Homo heidelbergensis; Homo sapiens,26.0,Helacyton gartleri; Homo afer; Homo americanus; Homo antecessor; Homo asiaticus; Homo bodoensis; Homo cepranensis; Homo denisova; Homo erectus; Homo ergaster,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Homo sapiens
ASV16,Eukaryota,Chordata,Actinopteri,Gadiformes,Lotidae,Molva,Molva molva,Eukaryota,Molva molva,Molva molva,Molva molva 1,Molva molva,584,156,428,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Molva dypterygia,96.5,3.0,Molva dypterygia; Molva macrophthalma; Molva molva,3.0,Molva dubia; Molva huntia; Molva palaeomorpha,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Molva molva
ASV17,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys stellatus,Eukaryota,Platichthys stellatus,Platichthys stellatus,Platichthys stellatus 1,Platichthys stellatus,19811,12106,7705,4573.044400674077,68.16666666666667,-108.833333333333,False,False,DOUBTFUL,Passer oculatus; Platichthys flesus; Platichthys solemdali,100.0,CONFIDENT,,,2.0,Platichthys flesus; Platichthys stellatus,2.0,Passer oculatus; Platichthys solemdali,DROP_TO_GENUS,MEDIUM,4573km from known range with 3 local congener(s),
ASV18,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Eukaryota,Clupea harengus,Clupea harengus,Clupea harengus 3,Clupea harengus,3402,88,3314,0,,,True,True,CONFIRMED,,99.4,UNCERTAIN,Clupea pallasii,98.8,2.0,Clupea harengus; Clupea pallasii,59.0,Clupea anomalura; Clupea arcuata; Clupea arezedi; Clupea beurardi; Clupea brevis; Clupea chinensis; Clupea chrysotaenia; Clupea curta; Clupea dentex; Clupea elongata,DROP_TO_GENUS,LOW,Geographic CONFIRMED but missing congeners in DB - cannot validate,Clupea sp. cf. harengus
ASV19,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Pollachius,Pollachius virens,Eukaryota,Pollachius virens,Pollachius virens,Pollachius virens 2,Pollachius virens,1925,457,1468,0,,,True,True,CONFIRMED,,99.4,REASSIGN,Pollachius pollachius,100.0,2.0,Pollachius pollachius; Pollachius virens,0.0,,REASSIGN,MEDIUM,Pollachius pollachius matches 100.0% vs assigned 99.4% (+0.6%),Pollachius pollachius
ASV20,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Labrus,Labrus mixtus,Eukaryota,Labrus mixtus,Labrus mixtus,Labrus mixtus 1,Labrus mixtus,471,123,348,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,,,2.0,Labrus bergylta; Labrus mixtus,109.0,Labrus adriaticus; Labrus agon; Labrus albidus; Labrus aristatus; Labrus barffi; Labrus bobba; Labrus brunellus; Labrus caeruleus; Labrus calophthalmus; Labrus calops,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Labrus mixtus
ASV21,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Labrus,Labrus bergylta,Eukaryota,Labrus bergylta,Labrus bergylta,Labrus bergylta 1,Labrus bergylta,338,110,228,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Labrus mixtus,95.1,2.0,Labrus bergylta; Labrus mixtus,109.0,Labrus adriaticus; Labrus agon; Labrus albidus; Labrus aristatus; Labrus barffi; Labrus bobba; Labrus brunellus; Labrus caeruleus; Labrus calophthalmus; Labrus calops,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Labrus bergylta
ASV22,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus morhua,Eukaryota,Gadus morhua,Gadus morhua,Gadus morhua 1,Gadus morhua,7145,3129,4016,0,,,True,True,CONFIRMED,,100.0,NO_CONGENERS,,,0.0,,0.0,,KEEP,MEDIUM,"Geographic CONFIRMED, 100.0% match (monotypic/rare genus)",Gadus morhua
ASV23,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus curilus,Eukaryota,Salvelinus curilus,Salvelinus curilus,Salvelinus curilus 1,Salvelinus curilus,182,118,64,3592.6354072858476,63.7261,-68.5156,False,False,DOUBTFUL,Salvelinus agassizii; Salvelinus albus; Salvelinus alpinus; Salvelinus anaktuvukensis; Salvelinus andriashevi; Salvelinus angustus; Salvelinus boganidae; Salvelinus colii; Salvelinus confluentus; Salvelinus czerskii; Salvelinus drjagini; Salvelinus elgyticus; Salvelinus evasus; Salvelinus faroensis; Salvelinus fimbriatus; Salvelinus fontinalis; Salvelinus gracillimus; Salvelinus grayi; Salvelinus gritzenkoi; Salvelinus inframundus; Salvelinus jacuticus; Salvelinus japonicus; Salvelinus killinensis; Salvelinus kingi; Salvelinus krogiusae; Salvelinus kronocius; Salvelinus kuznetzovi; Salvelinus lepechini; Salvelinus leucomaenis; Salvelinus levanidovi; Salvelinus lonsdalii; Salvelinus mallochi; Salvelinus malma; Salvelinus maxillaris; Salvelinus multidentatus; Salvelinus murta; Salvelinus namaycush; Salvelinus neiva; Salvelinus neocomensis; Salvelinus obtusus; Salvelinus perisii; Salvelinus profundus; Salvelinus salvelinoinsularis; Salvelinus schmidti; Salvelinus struanensis; Salvelinus taimyricus; Salvelinus taranetzi; Salvelinus thingvallensis; Salvelinus tolmachoffi; Salvelinus umbla; Salvelinus vasiljevae; Salvelinus willoughbii; Salvelinus youngeri,100.0,CONFIDENT,Salvelinus drjagini,100.0,18.0,Salvelinus albus; Salvelinus alpinus; Salvelinus boganidae; Salvelinus confluentus; Salvelinus curilus; Salvelinus drjagini; Salvelinus elgyticus; Salvelinus fontinalis; Salvelinus kronocius; Salvelinus kuznetzovi,36.0,Salvelinus agassizii; Salvelinus anaktuvukensis; Salvelinus andriashevi; Salvelinus angustus; Salvelinus colii; Salvelinus czerskii; Salvelinus evasus; Salvelinus faroensis; Salvelinus fimbriatus; Salvelinus gracillimus,DROP_TO_GENUS,HIGH,3593km away; local congener(s) match equally - likely local species,
ASV24,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Scophthalmidae,Zeugopterus,Zeugopterus punctatus,Eukaryota,Zeugopterus punctatus,Zeugopterus punctatus,Zeugopterus punctatus 1,Zeugopterus punctatus,29,20,9,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Zeugopterus regius,89.4,2.0,Zeugopterus punctatus; Zeugopterus regius,0.0,,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Zeugopterus punctatus
ASV25,Eukaryota,Chordata,Actinopteri,Gadiformes,Lotidae,Lota,Lota lota,Eukaryota,Lota lota,Lota lota,Lota lota 1,Lota lota,4872,4872,0,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,,,1.0,Lota lota,4.0,Lota digitata; Lota kumunikar; Lota molva; Lota vulgaris,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Lota lota
ASV26,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Scophthalmidae,Zeugopterus,Zeugopterus norvegicus,Eukaryota,Zeugopterus norvegicus,Zeugopterus norvegicus,Zeugopterus norvegicus 1,Zeugopterus norvegicus,36,20,16,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Zeugopterus punctatus,95.0,2.0,Zeugopterus punctatus; Zeugopterus regius,0.0,,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Zeugopterus norvegicus
ASV27,Eukaryota,Chordata,Actinopteri,Gadiformes,Gaidropsaridae,Gaidropsaridae,Gaidropsaridae,Eukaryota,,Gaidropsaridae,Gaidropsaridae,,,,,,,,,,,,,GENUS_ONLY_NO_REF,,,,,,,DROP_TO_GENUS,LOW,"Unhandled case: occ=None, db=GENUS_ONLY_NO_REF",
ASV28,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Myoxocephalus,Myoxocephalus quadricornis,Eukaryota,Myoxocephalus quadricornis,Myoxocephalus quadricornis,Myoxocephalus quadricornis 1,Myoxocephalus quadricornis,2112,1304,808,288.88861603725195,,,False,True,PLAUSIBLE,Acanthocottus aeneus; Acanthocottus inermis; Acanthocottus mucosus; Acanthocottus ocellatus; Acanthocottus patris; Ainocottus fasciatus; Myoxocephalus aenaeus; Myoxocephalus batrachoides; Myoxocephalus brandtii; Myoxocephalus edomius; Myoxocephalus jaok; Myoxocephalus matsubarai; Myoxocephalus niger; Myoxocephalus ochotensis; Myoxocephalus octodecemspinosus; Myoxocephalus polyacanthocephalus; Myoxocephalus scorpioides; Myoxocephalus scorpiu; Myoxocephalus scorpius; Myoxocephalus sinensis; Myoxocephalus stelleri; Myoxocephalus thompsonii; Myoxocephalus tuberculatus; Myoxocephalus yesoensis; Triglopsis ontariensis; Triglopsis stimpsonii,100.0,CONFIDENT,Myoxocephalus scorpius,100.0,9.0,Myoxocephalus aenaeus; Myoxocephalus brandtii; Myoxocephalus jaok; Myoxocephalus octodecemspinosus; Myoxocephalus polyacanthocephalus; Myoxocephalus quadricornis; Myoxocephalus scorpius; Myoxocephalus stelleri; Myoxocephalus thompsonii,18.0,Acanthocottus aeneus; Acanthocottus inermis; Acanthocottus mucosus; Acanthocottus ocellatus; Acanthocottus patris; Ainocottus fasciatus; Myoxocephalus batrachoides; Myoxocephalus edomius; Myoxocephalus matsubarai; Myoxocephalus niger,KEEP,MEDIUM,Geographic PLAUSIBLE + sequence match (100.0%),Myoxocephalus quadricornis
ASV29,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,Pomatoschistus,Pomatoschistus pictus,Eukaryota,Pomatoschistus pictus,Pomatoschistus pictus,Pomatoschistus pictus 1,Pomatoschistus pictus,19,18,1,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Pomatoschistus minutus,95.9,8.0,Pomatoschistus knerii; Pomatoschistus lozanoi; Pomatoschistus marmoratus; Pomatoschistus microps; Pomatoschistus minutus; Pomatoschistus norvegicus; Pomatoschistus pictus; Pomatoschistus quagga,8.0,Pomatoschistus anatoliae; Pomatoschistus bacescui; Pomatoschistus bathi; Pomatoschistus bunyatovi; Pomatoschistus canestrinii; Pomatoschistus montenegrensis; Pomatoschistus nanus; Pomatoschistus tortonesei,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Pomatoschistus pictus
ASV30,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Raniceps,Raniceps raninus,Eukaryota,Raniceps raninus,Raniceps raninus,Raniceps raninus 1,Raniceps raninus,29,24,5,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,,,1.0,Raniceps raninus,6.0,Gadi tuberculosus; Raniceps hermani; Raniceps latidens; Raniceps latisulcatus; Raniceps parcus; Raniceps planus,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Raniceps raninus
ASV31,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Symphodus,Symphodus melops,Eukaryota,Symphodus melops,Symphodus melops,Symphodus melops 1,Symphodus melops,307,64,243,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Symphodus ocellatus,98.8,8.0,Symphodus bailloni; Symphodus caeruleus; Symphodus cinereus; Symphodus melops; Symphodus ocellatus; Symphodus roissali; Symphodus rostratus; Symphodus trutta,11.0,Crenilabrus chrysophrus; Crenilabrus elegans; Crenilabrus hudsonius; Crenilabrus intermedius; Crenilabrus serranoides; Crenilabrus serranus; Labrus woodwardi; Symphodus doderleini; Symphodus mediterraneus; Symphodus tinca,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Symphodus melops
